Algorithm,MPI_Processes,Data_Size,Allocation,Latency
1,130,5000,node,0.000508152999999
1,131,5000,core,0.000779653999999
1,131,5000,node,0.000426962000000
1,132,5000,core,0.001310031000001
1,132,5000,node,0.000426240000000
1,133,5000,core,0.001362809000000
1,133,5000,node,0.000545794999999
1,134,5000,core,0.000782429000000
1,134,5000,node,0.000591381000000
1,135,5000,core,0.000780546000000
1,135,5000,node,0.000675948000000
1,136,5000,core,0.001142516000000
1,136,5000,node,0.000492418000000
1,137,5000,core,0.001164177000000
1,137,5000,node,0.000533784000000
1,138,5000,core,0.001028702999999
1,138,5000,node,0.000649710000000
1,139,5000,core,0.000865957000000
1,139,5000,node,0.000610993000000
1,140,5000,core,0.000805493000001
1,140,5000,node,0.000699462000000
1,141,5000,core,0.001268863000000
1,141,5000,node,0.000566644000000
1,142,5000,core,0.000793401000000
1,142,5000,node,0.000560772000000
1,143,5000,core,0.001173073000000
1,143,5000,node,0.000658407000000
1,144,5000,core,0.001068938000000
1,144,5000,node,0.000639448000000
1,145,5000,core,0.001149917000000
1,145,5000,node,0.000861749000000
1,146,5000,core,0.001258424000001
1,146,5000,node,0.000565752000000
1,147,5000,core,0.001171711000000
1,147,5000,node,0.000994067000001
1,148,5000,core,0.001211716000000
1,148,5000,node,0.000589487000001
1,149,5000,core,0.001289822000000
1,149,5000,node,0.000629204000000
1,150,5000,core,0.000759026000000
1,150,5000,node,0.000593712000001
1,151,5000,core,0.000820571000000
1,151,5000,node,0.000729760000000
1,152,5000,core,0.000769065000000
1,152,5000,node,0.000912072999999
1,153,5000,core,0.000936208000002
1,153,5000,node,0.000684973000000
1,154,5000,core,0.000849339000000
1,154,5000,node,0.000789531000000
1,155,5000,core,0.000966415000000
1,155,5000,node,0.000516170000000
1,156,5000,core,0.000833145000000
1,156,5000,node,0.000798119000000
1,157,5000,core,0.000784754000001
1,157,5000,node,0.000713902999999
1,158,5000,core,0.000781428000000
1,158,5000,node,0.000675449000000
1,159,5000,core,0.000783942000000
1,159,5000,node,0.000957388000000
1,160,5000,core,0.001121262000000
1,160,5000,node,0.000757237000000
1,161,5000,core,0.001049884000000
1,161,5000,node,0.000541658000000
1,162,5000,core,0.001079763000000
1,162,5000,node,0.000534925000000
1,163,5000,core,0.000936219000000
1,163,5000,node,0.000714051000000
1,164,5000,core,0.001087865000002
1,164,5000,node,0.000666402000000
1,165,5000,core,0.000859580000000
1,165,5000,node,0.000704954000000
1,166,5000,core,0.000863682000000
1,166,5000,node,0.000607251000000
1,167,5000,core,0.000882456000001
1,167,5000,node,0.000797571000001
