Algorithm,MPI_Processes,Data_Size,Allocation,Latency
3,151,2000,node,0.0001041150
3,152,2000,core,0.0000947180
3,152,2000,node,0.0000858620
3,153,2000,core,0.0000948380
3,153,2000,node,0.0001068510
3,154,2000,core,0.0000952790
3,154,2000,node,0.0000881860
3,155,2000,core,0.0000936560
3,155,2000,node,0.0001088050
3,156,2000,core,0.0000936660
3,156,2000,node,0.0000866430
3,157,2000,core,0.0000950580
3,157,2000,node,0.0001068510
3,158,2000,core,0.0000955200
3,158,2000,node,0.0000892280
3,159,2000,core,0.0000980040
3,159,2000,node,0.0001076920
3,160,2000,core,0.0001009100
3,160,2000,node,0.0000882460
3,161,2000,core,0.0001019010
3,161,2000,node,0.0001104580
3,162,2000,core,0.0001046170
3,162,2000,node,0.0000904810
3,163,2000,core,0.0001050880
3,163,2000,node,0.0001104580
3,164,2000,core,0.0001061890
3,164,2000,node,0.0000915720
3,165,2000,core,0.0001072720
3,165,2000,node,0.0001125820
3,166,2000,core,0.0001088240
3,166,2000,node,0.0000914110
3,167,2000,core,0.0001090450
3,167,2000,node,0.0001136640
3,168,2000,core,0.0001097270
3,168,2000,node,0.0000904400
3,169,2000,core,0.0001095660
3,169,2000,node,0.0001164190
3,170,2000,core,0.0001109590
3,170,2000,node,0.0000943370
3,171,2000,core,0.0001108380
3,171,2000,node,0.0001183620
3,172,2000,core,0.0001119810
3,172,2000,node,0.0000959700
3,173,2000,core,0.0001129220
3,173,2000,node,0.0001175710
3,174,2000,core,0.0001147360
3,174,2000,node,0.0000962410
3,175,2000,core,0.0001130220
3,175,2000,node,0.0001191640
3,176,2000,core,0.0001116490
3,176,2000,node,0.0000965120
3,177,2000,core,0.0001142850
3,177,2000,node,0.0001196050
3,178,2000,core,0.0001173300
3,178,2000,node,0.0000991670
3,179,2000,core,0.0001192040
3,179,2000,node,0.0001224000
3,180,2000,core,0.0001237130
3,180,2000,node,0.0000990660
3,181,2000,core,0.0001252850
3,181,2000,node,0.0001235020
3,182,2000,core,0.0001285920
3,182,2000,node,0.0000998380
3,183,2000,core,0.0001290430
3,183,2000,node,0.0001270380
3,184,2000,core,0.0001308360
3,184,2000,node,0.0000999980
3,185,2000,core,0.0001333310
3,185,2000,node,0.0001275900
3,186,2000,core,0.0001359450
3,186,2000,node,0.0001008290
3,187,2000,core,0.0001352940
3,187,2000,node,0.0001309260
3,188,2000,core,0.0001364060
3,188,2000,node,0.0001016110
3,189,2000,core,0.0001396020
3,189,2000,node,0.0001247640
3,190,2000,core,0.0001404740
3,190,2000,node,0.0001018920
3,191,2000,core,0.0001465160
3,191,2000,node,0.0001272800
3,192,2000,core,0.0001444820
3,192,2000,node,0.0001010600
3,193,2000,core,0.0001461150
3,193,2000,node,0.0001264580
3,194,2000,core,0.0001494510
3,194,2000,node,0.0001041260
3,195,2000,core,0.0001496210
3,195,2000,node,0.0001283210
3,196,2000,core,0.0001517150
3,196,2000,node,0.0001055780
3,197,2000,core,0.0001541400
3,197,2000,node,0.0001283810
3,198,2000,core,0.0001532180
3,198,2000,node,0.0001055090
3,199,2000,core,0.0001555830
3,199,2000,node,0.0001310470
3,200,2000,core,0.0001553520
3,200,2000,node,0.0001067810
3,201,2000,core,0.0001579470
3,201,2000,node,0.0001319580
3,202,2000,core,0.0001594700
3,202,2000,node,0.0001065600
3,203,2000,core,0.0001624060
3,203,2000,node,0.0001339420
3,204,2000,core,0.0001629770
3,204,2000,node,0.0001068010
3,205,2000,core,0.0001648200
3,205,2000,node,0.0001306760
3,206,2000,core,0.0001649100
3,206,2000,node,0.0001082130
