Algorithm,MPI_Processes,Data_Size,Allocation,Latency
4,64,2000,core,0.0000177030
4,64,2000,node,0.0000393840
4,65,2000,core,0.0000216510
4,65,2000,node,0.0000502740
4,66,2000,core,0.0000220920
4,66,2000,node,0.0000440120
4,67,2000,core,0.0000225620
4,67,2000,node,0.0000536800
4,68,2000,core,0.0000227530
4,68,2000,node,0.0000481200
4,69,2000,core,0.0000228220
4,69,2000,node,0.0000645910
4,70,2000,core,0.0000227930
4,70,2000,node,0.0000552230
4,71,2000,core,0.0000229230
4,71,2000,node,0.0000673560
4,72,2000,core,0.0000230030
4,72,2000,node,0.0000565860
4,73,2000,core,0.0000230440
4,73,2000,node,0.0000800700
4,74,2000,core,0.0000232230
4,74,2000,node,0.0000680670
4,75,2000,core,0.0000232130
4,75,2000,node,0.0000855110
4,76,2000,core,0.0000231030
4,76,2000,node,0.0000720350
4,77,2000,core,0.0000230430
4,77,2000,node,0.0000786270
4,78,2000,core,0.0000231140
4,78,2000,node,0.0000700510
4,79,2000,core,0.0000233130
4,79,2000,node,0.0000848890
4,80,2000,core,0.0000233340
4,80,2000,node,0.0000733480
4,81,2000,core,0.0000232530
4,81,2000,node,0.0000833360
4,82,2000,core,0.0000233330
4,82,2000,node,0.0000701720
4,83,2000,core,0.0000235040
4,83,2000,node,0.0000852100
4,84,2000,core,0.0000234240
4,84,2000,node,0.0000765240
4,85,2000,core,0.0000233440
4,85,2000,node,0.0000928040
4,86,2000,core,0.0000235850
4,86,2000,node,0.0000834870
4,87,2000,core,0.0000237240
4,87,2000,node,0.0000963910
4,88,2000,core,0.0000234540
4,88,2000,node,0.0000821240
4,89,2000,core,0.0000233640
4,89,2000,node,0.0001000180
4,90,2000,core,0.0000236150
4,90,2000,node,0.0000847190
4,91,2000,core,0.0000237350
4,91,2000,node,0.0000942360
4,92,2000,core,0.0000236050
4,92,2000,node,0.0000910610
4,93,2000,core,0.0000234840
4,93,2000,node,0.0000958990
4,94,2000,core,0.0000234740
4,94,2000,node,0.0000919430
4,95,2000,core,0.0000234440
4,95,2000,node,0.0000971020
4,96,2000,core,0.0000227930
4,96,2000,node,0.0000886960
4,97,2000,core,0.0000226830
4,97,2000,node,0.0000947980
4,98,2000,core,0.0000231630
4,98,2000,node,0.0000940470
4,99,2000,core,0.0000227320
4,99,2000,node,0.0001002780
4,100,2000,core,0.0000231430
4,100,2000,node,0.0000968210
4,101,2000,core,0.0000233440
4,101,2000,node,0.0001059080
4,102,2000,core,0.0000234640
4,102,2000,node,0.0000981640
4,103,2000,core,0.0000228730
4,103,2000,node,0.0001076020
4,104,2000,core,0.0000233440
