Algorithm,MPI_Processes,Allocation,Latency
5,190,node,8.60
5,191,socket,49.95
5,191,node,16.88
5,192,socket,61.46
5,192,node,8.47
5,193,socket,47.05
5,193,node,15.77
5,194,socket,42.45
5,194,node,9.30
5,195,socket,41.71
5,195,node,15.51
5,196,socket,38.99
5,196,node,8.72
5,197,socket,67.83
5,197,node,16.18
5,198,socket,31.21
5,198,node,9.20
5,199,socket,63.93
5,199,node,16.56
5,200,socket,36.17
5,200,node,9.64
5,201,socket,56.70
5,201,node,16.78
5,202,socket,36.96
5,202,node,9.62
5,203,socket,51.65
5,203,node,16.50
5,204,socket,37.04
5,204,node,8.99
5,205,socket,69.92
5,205,node,16.93
5,206,socket,59.87
5,206,node,9.68
5,207,socket,66.89
5,207,node,17.26
5,208,socket,13.66
5,208,node,8.98
5,209,socket,84.00
5,209,node,18.04
5,210,socket,48.06
5,210,node,10.31
5,211,socket,61.55
5,211,node,17.58
5,212,socket,44.23
5,212,node,9.37
5,213,socket,45.74
5,213,node,17.41
5,214,socket,65.04
5,214,node,10.07
5,215,socket,55.02
5,215,node,18.56
5,216,socket,12.84
5,216,node,10.17
5,217,socket,57.87
5,217,node,18.25
5,218,socket,53.94
5,218,node,9.77
5,219,socket,83.54
5,219,node,17.85
5,220,socket,52.29
5,220,node,9.58
5,221,socket,74.81
5,221,node,17.83
5,222,socket,65.76
5,222,node,9.47
5,223,socket,60.30
5,223,node,18.06
5,224,socket,52.44
5,224,node,8.98
5,225,socket,14.22
5,225,node,17.89
5,226,socket,58.21
5,226,node,9.92
5,227,socket,73.37
5,227,node,17.75
5,228,socket,51.97
5,228,node,9.93
5,229,socket,59.09
5,229,node,18.25
5,230,socket,53.91
5,230,node,9.64
5,231,socket,60.82
5,231,node,18.72
5,232,socket,46.56
5,232,node,10.23
5,233,socket,62.13
5,233,node,18.58
5,234,socket,48.90
5,234,node,10.01
5,235,socket,68.04
5,235,node,18.32
5,236,socket,52.88
5,236,node,9.65
5,237,socket,55.11
5,237,node,18.78
5,238,socket,85.74
5,238,node,9.43
5,239,socket,81.52
5,239,node,18.42
5,240,socket,63.80
5,240,node,9.19
5,241,socket,59.19
5,241,node,17.98
5,242,socket,64.98
5,242,node,10.02
5,243,socket,80.52
5,243,node,17.61
5,244,socket,43.31
5,244,node,9.49
5,245,socket,68.55
5,245,node,18.75
5,246,socket,58.46
5,246,node,9.06
5,247,socket,63.71
5,247,node,18.96
5,248,socket,50.79
5,248,node,9.43
5,249,socket,69.34
5,249,node,18.36
5,250,socket,60.75
5,250,node,10.45
5,251,socket,61.00
5,251,node,17.32
5,252,socket,70.45
5,252,node,9.61
5,253,socket,88.09
5,253,node,16.41
5,254,socket,104.04
5,254,node,9.92
5,255,socket,24.85
5,255,node,11.78
5,256,socket,31.15
5,256,node,2.87
