Algorithm,MPI_Processes,Allocation,Latency
3,238,node,344.80
3,239,socket,293.16
3,239,node,336.42
3,240,socket,313.14
3,240,node,348.10
3,241,socket,311.14
3,241,node,340.80
3,242,socket,301.71
3,242,node,354.41
3,243,socket,228.29
3,243,node,344.06
3,244,socket,247.57
3,244,node,357.62
3,245,socket,299.08
3,245,node,347.55
3,246,socket,307.18
3,246,node,359.71
3,247,socket,197.95
3,247,node,351.61
3,248,socket,197.71
3,248,node,366.39
3,249,socket,199.55
3,249,node,353.15
3,250,socket,346.88
3,250,node,368.19
3,251,socket,313.04
3,251,node,357.40
3,252,socket,179.93
3,252,node,369.69
3,253,socket,236.12
3,253,node,360.67
3,254,socket,222.88
3,254,node,373.47
3,255,socket,266.40
3,255,node,360.88
3,256,socket,311.80
3,256,node,376.32
